Year,,,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Variable,Measure,Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,Grammes per capita per day,Austria,111.7,114.6,119,121.5,120.7,121,121,122,122.4,124.7,127.2,129.1,132.3,128.2,128.6,136.8,135.7,137.7,142.1,147.5,149.6,152.2,151.8,151.6,154.4,154.9,154.5,150.7,155.6,156.2,159.2,161.4,159.4,158.7,158.6,162.4,163.6,164.9,165.7,165.4,167.9,162.6,159.7,162.9,160,167.5,167.8,167.4,173.5,175.5,171.5
,,Denmark,136.3,128.9,131.7,134.9,135.5,135.8,134.4,139,138,140.6,145.6,138.1,129.3,129.2,128.4,122.8,129.5,128.6,133.6,137.7,134.5,129,123.7,122.9,130.5,125.5,129.3,135.8,133.4,130,129.1,141,137,134.1,140.3,133.7,128.9,134.1,131.7,134,135.5,130.4,130.1,133.4,137.1,131,129.8,127.2,131.6,130.4,132.2
,,Finland,119,120.5,122.1,120,121.1,122.9,122.7,122.2,125.7,123.6,127.9,128.6,131,128.5,136.2,134.4,130.7,127.5,129,131,128.3,135,129,125.4,123.7,127.2,123,125.2,131.6,124.1,124.4,129.7,125.2,121.9,127.9,124.2,130,133.7,128.1,122.9,126.5,127.5,125.9,126.1,127.6,129,131.7,131.7,131,134.4,136.7
,,France,106.8,109.5,110.4,111,116.6,116.7,121.3,125.8,126.2,126.5,127.5,128.6,128.1,129.5,130.3,134.9,138.6,143.3,145.7,147.8,150.7,148.5,150,151,154,153.9,160.5,161.8,163.8,161,163.5,164.6,163.8,163.5,164.4,162.4,166,167.9,168.4,169.9,171.4,171.1,168.4,161.8,162.9,162.9,160.4,167.2,165.1,164.3,162.4
,,Germany,112.9,116.9,115.5,117.3,119.8,118.6,120.5,122.7,121.7,124.4,124.8,129.1,126.2,124.5,125.4,129.9,128.2,132.8,134.1,133.1,134.1,136,139.7,139.5,141.2,136.1,134.9,134.8,137.8,140.6,141.1,146.2,137.9,137.9,138.2,144.4,143.2,143.6,140.7,142.8,137.1,139,139.2,138.6,139,140.7,146,144.1,143,144.2,145.8
,,Greece,87.3,87.9,89.4,90.8,91.9,94.2,95.1,101.3,101.9,107.9,118.1,113,126.6,118.7,121.2,121,123.4,123.1,123.5,121.8,123.2,126.4,130.1,135.6,137.9,130.5,134.4,138,141.6,138.8,141.1,146.2,140.3,145.6,145.7,145.4,146.9,147.7,148,141.5,142.2,146.9,147,148.5,149.2,148.2,149,154.8,155.2,154.8,150.3
,,Hungary,88.9,89.4,91.6,92.4,92.3,94.1,98.6,104,98.6,107.6,107.6,105.5,109.6,114,116.5,115.5,112.8,111.7,119.1,119.4,125.3,128.1,132.3,124.9,132.2,134.7,144.1,139.6,142,135.9,125.4,134.2,132.9,128,125.3,124.3,123.2,126.3,123.9,134.5,129.4,135.9,129.2,134.4,139.1,139.7,142.6,142,138.3,137.7,135.3
,,Iceland,138.8,138.9,127.5,122.9,126.4,119.1,115,108.3,109.7,118.1,114.3,127.8,120.8,119.6,128.3,121.9,123.6,125.4,134.2,133,142.6,135.7,134.4,135,134.3,138.9,127.6,124.4,124.9,123.8,119.5,121.1,117.3,118.4,117.3,114.5,119.8,122.7,128.2,129.8,128,137.9,138.9,144.6,144.6,149.1,151.2,149.7,146.5,144.9,146.2
,,Ireland,110.3,114.2,114.8,120.1,119.2,119.8,122.2,120,122.9,124.5,126.4,126.5,125.3,126.8,124.5,125.3,126.9,133.2,130.8,138.4,140.2,141.3,136.4,136.8,137.9,138.6,140.2,139,140.1,135.7,131.9,131.8,122.3,128.4,126.4,129.8,140.6,140.1,139.5,139.8,136,133.9,133.7,134.5,134.1,125.4,129.5,133.2,130.2,130.7,130.5
,,Italy,77.2,85.6,89.7,87.2,90.9,91.9,97.8,100,102.9,112.4,113.5,117,116.9,117.2,115.3,115.4,110.8,125.1,128.9,129.3,129,128.8,130.4,131.3,137.5,142.7,147.2,147.6,148.2,150.8,152.3,144.7,144.4,147.1,146.7,148.7,149.7,156.8,159.1,153.7,155.2,155.3,152.5,150.1,147.9,155.9,155.5,155.7,153.4,156.6,156.4
,,Netherlands,123.5,125.4,126.5,126.7,124.6,128.4,131.9,129.1,128.7,128.7,127.2,126.8,126.8,128.3,119.5,123.4,128.1,128.7,128.6,130.7,130.4,132,129.3,133.2,132.6,132.5,134.6,134.9,130.6,141.3,139,136.3,148.7,136.9,145.9,148.8,146.8,156.3,148,146.2,143.9,144.1,130.4,133.5,140.7,132.7,135.2,134.6,129,121.7,116.5
